image,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31,pca_32,pca_33,pca_34,pca_35,pca_36,pca_37,pca_38,pca_39,pca_40,pca_41,pca_42,pca_43,pca_44,pca_45,pca_46,pca_47,pca_48,pca_49,pca_50
1,0.35341,0.35423,0.35279,0.35139,0.35229,0.35365,0.35522,0.35543,-0.40446,-0.39144,-0.31383,-0.17887,0.038873,0.27132,0.43718,0.53521,0.49514,0.25402,-0.12236,-0.41817,-0.49394,-0.26707,0.13677,0.40801,0.42108,-0.027434,-0.43674,-0.34173,0.19898,0.50011,0.13859,-0.45334,0.33573,-0.23833,-0.4142,0.19156,0.47275,-0.26235,-0.44522,0.36289,-0.35312,0.55378,0.014943,-0.49689,0.31112,0.16692,-0.39705,0.19798,0.21603,-0.49274
2,0.35438,0.35471,0.35426,0.35333,0.35458,0.35313,0.35221,0.35182,-0.22413,-0.31537,-0.37505,-0.29609,-0.067421,0.22782,0.47226,0.58524,0.57762,0.36142,-0.029829,-0.38853,-0.4905,-0.29332,0.02476,0.23799,-0.1845,-0.13811,0.17981,0.39989,-0.020254,-0.58669,-0.24121,0.59316,0.57994,-0.31614,-0.54735,0.12842,0.42347,-0.05849,-0.25151,0.040454,0.2689,-0.4798,0.10667,0.41861,-0.40904,-0.12592,0.50067,-0.27754,0.18014,-0.41638
3,0.35471,0.35432,0.35433,0.35439,0.35291,0.35262,0.35305,0.35208,-0.3626,-0.38839,-0.35649,-0.18821,0.04541,0.2882,0.46671,0.50223,0.57144,0.29403,-0.21636,-0.53893,-0.42658,-0.0399,0.13969,0.21606,-0.31364,0.11999,0.42349,0.12655,-0.3936,-0.50005,0.0013783,0.53563,0.44155,-0.35209,-0.37332,0.33943,0.2395,-0.37931,-0.29087,0.37503,0.27774,-0.45232,0.144,0.33126,-0.41029,-0.10753,0.54593,-0.33145,0.10856,-0.29737
4,0.35181,0.3513,0.35121,0.35281,0.35484,0.35503,0.35479,0.35658,0.49257,0.48651,0.28916,0.018005,-0.18591,-0.37069,-0.42309,-0.29285,-0.35008,-0.17296,0.26578,0.56193,0.41916,0.018396,-0.29162,-0.44726,-0.37352,-0.02154,0.37749,0.25007,-0.28335,-0.49101,-0.035331,0.5765,-0.44671,0.34577,0.45211,-0.26842,-0.33396,0.30862,0.28667,-0.33983,0.21486,-0.18681,-0.099214,0.41488,-0.31476,-0.30798,0.64277,-0.36039,-0.33775,0.60999
5,0.35309,0.35388,0.35578,0.35579,0.35313,0.3515,0.35196,0.35328,0.5298,0.44402,0.2509,0.047199,-0.14641,-0.30226,-0.39626,-0.43263,0.2324,0.17025,-0.040556,-0.3365,-0.51443,-0.32982,0.19494,0.62507,-0.51937,0.015599,0.52655,0.43368,-0.088737,-0.41298,-0.18925,0.22457,0.39138,-0.39109,-0.35776,0.3513,0.34247,-0.34663,-0.31593,0.32438,-0.288,0.53447,-0.2108,-0.31797,0.3965,0.077405,-0.48531,0.29516,0.14899,-0.32684
6,0.35289,0.35454,0.35483,0.35312,0.35269,0.35428,0.35382,0.35225,-0.38827,-0.41079,-0.38188,-0.16207,0.13452,0.37551,0.43258,0.40271,-0.48174,-0.2161,0.18551,0.4858,0.47109,0.15832,-0.19811,-0.40568,-0.45592,-0.00529,0.38538,0.2604,-0.26801,-0.45845,0.0002636,0.54201,0.42374,-0.39007,-0.37223,0.33844,0.32021,-0.3384,-0.30208,0.32694,-0.26656,0.49108,-0.14194,-0.37297,0.44046,0.033115,-0.48923,0.30673,0.15845,-0.46163
7,0.35881,0.35891,0.35942,0.35654,0.35255,0.35115,0.34735,0.34333,-0.41409,-0.42065,-0.32838,-0.11624,0.12405,0.26536,0.40081,0.53272,-0.47683,-0.23998,0.17047,0.4892,0.48502,0.15255,-0.20861,-0.3803,-0.45205,0.11932,0.50022,0.21803,-0.32619,-0.44185,-0.039838,0.42478,-0.39399,0.30881,0.28878,-0.35016,-0.26186,0.42158,0.37712,-0.39356,-0.22316,0.40884,0.010373,-0.53291,0.56082,-0.082345,-0.35935,0.22027,0.18724,-0.43611
8,0.3474,0.35048,0.35262,0.35342,0.35418,0.35582,0.35758,0.35681,0.51381,0.43083,0.27103,0.075869,-0.12259,-0.27269,-0.40741,-0.46454,0.39412,0.1885,-0.16432,-0.44299,-0.47017,-0.22675,0.20289,0.52177,-0.45869,0.078155,0.53952,0.29774,-0.258,-0.4558,-0.094586,0.34714,-0.34189,0.35908,0.31943,-0.37467,-0.3347,0.37857,0.3528,-0.36325,-0.31286,0.67357,-0.59896,0.28811,-0.0046128,-0.040976,-0.052195,0.04729,0.18658,-0.25772
9,0.35056,0.35226,0.35411,0.3545,0.35493,0.35411,0.35316,0.35476,-0.46111,-0.41758,-0.28699,-0.12814,0.08916,0.26937,0.42875,0.49989,-0.34566,-0.23486,0.033973,0.37937,0.53713,0.30551,-0.15846,-0.52281,0.51118,-0.0071789,-0.50462,-0.39674,0.12842,0.44198,0.14111,-0.30798,0.39204,-0.34434,-0.38134,0.32376,0.33989,-0.34612,-0.34012,0.35566,0.28275,-0.49024,0.10271,0.39467,-0.38432,-0.12143,0.51365,-0.29515,0.086759,-0.20273
10,0.35403,0.35397,0.35456,0.35444,0.35311,0.35163,0.35274,0.35394,0.19574,-0.012021,-0.27061,-0.43678,-0.38325,-0.084512,0.33589,0.65627,0.54874,0.47217,0.26665,-0.065904,-0.34113,-0.40004,-0.29865,-0.18681,0.50265,0.013279,-0.45171,-0.33163,0.17599,0.45226,0.081031,-0.43711,0.40155,-0.34575,-0.3607,0.32947,0.37226,-0.33893,-0.36581,0.30542,-0.24081,0.51798,-0.43046,0.22199,-0.18958,0.36292,-0.46875,0.2275,-0.093064,0.30233
11,0.35345,0.35467,0.3553,0.35279,0.35176,0.35356,0.35408,0.35281,0.47325,0.43401,0.32706,0.097902,-0.20424,-0.38713,-0.40623,-0.3384,-0.46,-0.16433,0.28655,0.54764,0.40742,0.026778,-0.26432,-0.3779,-0.41705,0.045838,0.39346,0.16617,-0.3713,-0.43033,0.048303,0.56229,0.35575,-0.32457,-0.3892,0.32466,0.31157,-0.36807,-0.32186,0.41841,-0.29654,0.49415,-0.059407,-0.435,0.44592,0.033687,-0.45041,0.26882,0.15814,-0.39823
12,0.34657,0.35287,0.3537,0.3548,0.35457,0.35346,0.35556,0.35679,0.54297,0.45685,0.26284,0.023904,-0.1886,-0.3228,-0.37667,-0.381,0.3366,0.12956,-0.21763,-0.44968,-0.45565,-0.16501,0.2622,0.56281,-0.45891,0.064642,0.49509,0.29887,-0.24523,-0.46619,-0.10408,0.40309,-0.35772,0.34071,0.36184,-0.35628,-0.3473,0.3517,0.35823,-0.35419,-0.33942,0.66822,-0.40676,-0.12595,0.41833,-0.28289,0.027982,0.033953,-0.078412,0.24687
